,index,zip,lat,lng,city,state_id,state_name,population,density
76,26724,77079,29.77627,-95.60462,Houston,TX,Texas,34122.0,1785.1
77,26725,77080,29.8159,-95.52401,Houston,TX,Texas,45586.0,2757.6
78,26726,77081,29.71203,-95.48118000000001,Houston,TX,Texas,53031.0,6597.4
79,26727,77082,29.72358,-95.64179,Houston,TX,Texas,55056.0,1699.6
80,26728,77083,29.693270000000002,-95.6489,Houston,TX,Texas,78298.0,2929.7
81,26729,77084,29.826420000000002,-95.66213,Houston,TX,Texas,107673.0,1356.1
82,26730,77085,29.624309999999998,-95.48427,Houston,TX,Texas,17991.0,1315.8
83,26731,77086,29.918190000000003,-95.49109,Houston,TX,Texas,28636.0,1629.4
84,26732,77087,29.68613,-95.30343,Houston,TX,Texas,37886.0,2202.8
85,26733,77088,29.881809999999998,-95.45352,Houston,TX,Texas,55734.0,1923.6
86,26734,77089,29.58673,-95.22523000000001,Houston,TX,Texas,54751.0,1598.3
87,26735,77090,30.00866,-95.44393000000001,Houston,TX,Texas,40761.0,1914.0
88,26736,77091,29.85378,-95.44065,Houston,TX,Texas,27750.0,1491.3
89,26737,77092,29.82968,-95.47383,Houston,TX,Texas,38458.0,1952.7
90,26738,77093,29.862270000000002,-95.34100000000001,Houston,TX,Texas,47135.0,1513.1
91,26739,77094,29.7621,-95.67824,Houston,TX,Texas,10271.0,349.7
92,26740,77095,29.9082,-95.65321999999999,Houston,TX,Texas,70692.0,1771.7
93,26741,77096,29.67475,-95.47951,Houston,TX,Texas,32682.0,2102.9
94,26742,77098,29.73487,-95.41529,Houston,TX,Texas,13818.0,3005.2
95,26743,77099,29.670790000000004,-95.58519,Houston,TX,Texas,52294.0,3248.7
96,26744,77201,29.766009999999998,-95.36456,Houston,TX,Texas,0.0,0.0
