Business_name,latitude,longitude,category,lifeline_num,lifeline_name,Source
Missouri City Animal Services,29.6052189,-95.5310947,animalshelters,2,"Food, water, sheltering",Google
Webster Animal Shelter,29.5277005,-95.1181332,animalshelters,2,"Food, water, sheltering",Google
Sunnybank Dog Training,29.8562216,-95.5871858,animalshelters,2,"Food, water, sheltering",Google
Epona's Voice,29.463096,-95.0531139,animalshelters,2,"Food, water, sheltering",Google
Petco,29.9869682,-95.496457,animalshelters,2,"Food, water, sheltering",Google
Pet Supplies Plus - Clear Lake,29.5539891,-95.1176012,animalshelters,2,"Food, water, sheltering",Google
Emancipation Community Center,29.7357077,-95.3643926,communitycenters,2,"Food, water, sheltering",Google
Mac Gregor Community Center,29.7097128,-95.3398683,communitycenters,2,"Food, water, sheltering",Google
Sagemont Park Community Center,29.5994644,-95.2162857,communitycenters,2,"Food, water, sheltering",Google
Cherryhurst Community Center,29.7443271,-95.3981046,communitycenters,2,"Food, water, sheltering",Google
Hackberry Community Center,29.693084,-95.6034068,communitycenters,2,"Food, water, sheltering",Google
Burnett Bayland Community Center,29.714703,-95.4781216,communitycenters,2,"Food, water, sheltering",Google
Eastwood Community Center,29.7425305,-95.3250185,communitycenters,2,"Food, water, sheltering",Google
Freed Community Center,29.7966996,-95.4722354,communitycenters,2,"Food, water, sheltering",Google
Bayland Community Center,29.6951434,-95.4961751,communitycenters,2,"Food, water, sheltering",Google
Sunnyside Community Center,29.6688759,-95.3721184,communitycenters,2,"Food, water, sheltering",Google
Juergen's Hall Community Center,29.9703271,-95.6985595,communitycenters,2,"Food, water, sheltering",Google
Alief Community Center,29.7027778,-95.5888889,communitycenters,2,"Food, water, sheltering",Google
Lincoln Park Community Center,29.8802321,-95.4247706,communitycenters,2,"Food, water, sheltering",Google
Leon Z Grayson Community Center,29.782452,-95.179457,communitycenters,2,"Food, water, sheltering",Google
Lakewood Glen Community Center,29.9939666,-95.6250933,communitycenters,2,"Food, water, sheltering",Google
BakerRipley Leonel Castillo Community Center,29.7782604,-95.3670466,communitycenters,2,"Food, water, sheltering",Google
Linkwood Community Center,29.6874095,-95.433662,communitycenters,2,"Food, water, sheltering",Google
Clark Community Center,29.8482887,-95.3756622,communitycenters,2,"Food, water, sheltering",Google
Stude Community Center,29.7787459,-95.38548,communitycenters,2,"Food, water, sheltering",Google
Richard & Meg Weekley Community Center,29.9001285,-95.7042056,communitycenters,2,"Food, water, sheltering",Google
Bay Area Homeless Services,29.7294493,-95.0083808,homelessshelters,2,"Food, water, sheltering",Google
Spirit Key Inc.,29.9322318,-95.4793203,homelessshelters,2,"Food, water, sheltering",Google
Family Promise of Lake Houston,29.995924,-95.259744,homelessshelters,2,"Food, water, sheltering",Google
The Life Center for the Homeless,29.831798,-95.4026064,homelessshelters,2,"Food, water, sheltering",Google
Sarah's House,29.6734563,-95.2019841,homelessshelters,2,"Food, water, sheltering",Google
Sonrise Shelter,29.8914883,-95.3081533,homelessshelters,2,"Food, water, sheltering",Google
Turning Point Center,29.800052,-95.4812819,homelessshelters,2,"Food, water, sheltering",Google
Family Promise of Clear Creek,29.5133513,-95.0711151,homelessshelters,2,"Food, water, sheltering",Google
Mission of Yahweh,29.8450969,-95.5471827,homelessshelters,2,"Food, water, sheltering",Google
Star of Hope,29.7605586,-95.3514715,homelessshelters,2,"Food, water, sheltering",Google
Transitional Living Center,29.6994444,-95.3769444,homelessshelters,2,"Food, water, sheltering",Google
Covenant House Texas,29.743236,-95.3932358,homelessshelters,2,"Food, water, sheltering",Google
Bay Area Turning Point,29.5336765,-95.1214941,homelessshelters,2,"Food, water, sheltering",Google
"Crossroads At Park Place, Inc.",29.6856806,-95.2819955,homelessshelters,2,"Food, water, sheltering",Google
The Beacon,29.7590984,-95.359581,homelessshelters,2,"Food, water, sheltering",Google
Madge Bush Transitional,29.73171,-95.352081,homelessshelters,2,"Food, water, sheltering",Google
Open Door Mission,29.7404442,-95.3171082,homelessshelters,2,"Food, water, sheltering",Google
Star of Hope Mission - Women and Family Development Center at Star of Hope's Cornerstone Community,29.6593894,-95.3928265,homelessshelters,2,"Food, water, sheltering",Google
Coalition For the Homeless,29.408361,-95.2584,homelessshelters,2,"Food, water, sheltering",Google
Agape Children's Services,29.7413143,-95.5001782,homelessshelters,2,"Food, water, sheltering",Google
TX Soft Water,29.7634729,-95.6245822,waterpurification,2,"Food, water, sheltering",Google
Drinking Water Solution,29.6599473,-95.6988248,waterpurification,2,"Food, water, sheltering",Google
Rainbow Water Purification. Water Softener Repairs. Water Purification Services Equipment Supplier Houston,29.9470623,-95.5592258,waterpurification,2,"Food, water, sheltering",Google
Aqua General Inc,29.6769217,-95.399229,waterpurification,2,"Food, water, sheltering",Google
Northeast Water Purification Plant (NEWPP),29.933747,-95.197667,waterpurification,2,"Food, water, sheltering",Google
"Solarian Soft Water Company, LLC.",30.0570105,-95.3647796,waterpurification,2,"Food, water, sheltering",Google
KAHA Water,29.7192527,-95.5072344,waterpurification,2,"Food, water, sheltering",Google
COH Groundwater Facility,29.9515266,-95.5400167,waterpurification,2,"Food, water, sheltering",Google
"Aquamundo, Llc",29.8214418,-95.6879215,waterpurification,2,"Food, water, sheltering",Google
WATERTREATMENT-ANDREU,29.7952101,-95.1609545,waterpurification,2,"Food, water, sheltering",Google
Natural Water Filtration,29.6349041,-95.6186311,waterpurification,2,"Food, water, sheltering",Google
Aqua Remach LLC,29.9782207,-95.6020591,waterpurification,2,"Food, water, sheltering",Google
Newport Surface H2O Plant,29.9257489,-95.0894091,waterpurification,2,"Food, water, sheltering",Google
